
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-06-02 15:14:11 /api/leads/stats ................................................................... ~ 508.40ms
  2026-06-02 15:14:11 /api/leads/analysis ...................................................................... ~ 1s
  2026-06-02 15:14:11 /api/notifications ................................................................. ~ 507.84ms
  2026-06-02 15:14:12 /api/campaigns/dashboard-stats ..................................................... ~ 506.91ms
  2026-06-02 15:14:12 /api/stages ........................................................................ ~ 506.03ms
  2026-06-02 15:14:12 /api/leads/stats ................................................................... ~ 507.39ms
  2026-06-02 15:14:13 /api/leads/analysis ...................................................................... ~ 1s
  2026-06-02 15:14:13 /api/dashboard-data/last-comments .................................................. ~ 507.34ms
  2026-06-02 15:14:13 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.73ms
  2026-06-02 15:14:14 /api/dashboard-data/last-comments ........................................................ ~ 1s
  2026-06-02 15:14:14 /api/dashboard-data/recent-phone-calls ............................................. ~ 507.15ms
  2026-06-02 15:14:14 /api/dashboard-data/last-comments .................................................. ~ 505.33ms
  2026-06-02 15:14:15 /api/dashboard-data/recent-phone-calls ............................................. ~ 505.20ms
  2026-06-02 15:14:15 /api/dashboard-data/last-comments .................................................. ~ 504.86ms
  2026-06-02 15:14:15 /api/dashboard-data/recent-phone-calls ................................................... ~ 1s
  2026-06-02 15:14:15 /api/dashboard-data/last-comments .................................................. ~ 506.13ms
  2026-06-02 15:14:16 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.06ms
  2026-06-02 15:14:16 /api/dashboard-data/last-comments .................................................. ~ 505.07ms
  2026-06-02 15:14:16 /api/dashboard-data/recent-phone-calls ............................................. ~ 505.99ms
  2026-06-02 15:14:17 /api/dashboard-data/last-comments ........................................................ ~ 1s
  2026-06-02 15:14:17 /api/dashboard-data/recent-phone-calls ............................................. ~ 507.12ms
  2026-06-02 15:14:17 /api/dashboard-data/last-comments .................................................. ~ 506.40ms
  2026-06-02 15:14:18 /api/dashboard-data/recent-phone-calls ................................................... ~ 1s
  2026-06-02 15:14:18 /api/dashboard-data/last-comments .................................................. ~ 505.51ms
  2026-06-02 15:14:18 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.16ms
  2026-06-02 15:14:19 /api/dashboard-data/last-comments .................................................. ~ 505.44ms
