
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-06-07 14:39:08 /api/leads/delayed ................................................................. ~ 507.06ms
  2026-06-07 14:39:09 /api/dashboard/top-users ........................................................... ~ 506.02ms
  2026-06-07 14:39:09 /api/dashboard-data/last-comments ........................................................ ~ 1s
  2026-06-07 14:39:09 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.48ms
  2026-06-07 14:39:10 /api/campaigns/dashboard-stats ..................................................... ~ 505.38ms
  2026-06-07 14:39:10 /api/super-admin/tenants ................................................................. ~ 1s
  2026-06-07 14:39:10 /api/super-admin/tenants ........................................................... ~ 508.69ms
  2026-06-07 14:39:11 /api/leads/pipeline-analysis ....................................................... ~ 506.67ms
  2026-06-07 14:39:11 /api/stages ........................................................................ ~ 506.28ms
  2026-06-07 14:39:11 /api/user .......................................................................... ~ 507.97ms
  2026-06-07 14:39:12 /api/dashboard-data/active-users ......................................................... ~ 1s
  2026-06-07 14:39:12 /api/users ......................................................................... ~ 505.55ms
  2026-06-07 14:39:12 /api/stages ........................................................................ ~ 508.00ms
  2026-06-07 14:39:13 /api/users ............................................................................... ~ 1s
  2026-06-07 14:39:13 /api/leads/stats ................................................................... ~ 509.11ms
  2026-06-07 14:39:13 /api/leads/analysis ................................................................ ~ 507.14ms
  2026-06-07 14:39:14 /api/notifications ....................................................................... ~ 1s
  2026-06-07 14:39:14 /api/campaigns/dashboard-stats ..................................................... ~ 507.54ms
  2026-06-07 14:39:14 /api/stages ........................................................................ ~ 507.41ms
  2026-06-07 14:39:15 /api/leads/stats ......................................................................... ~ 1s
  2026-06-07 14:39:15 /api/logout ........................................................................ ~ 507.73ms
  2026-06-07 14:39:15 /api/leads/analysis ................................................................ ~ 507.80ms
  2026-06-07 14:39:16 /api/dashboard-data/last-comments ........................................................ ~ 1s
  2026-06-07 14:39:16 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.95ms
  2026-06-07 14:39:16 /api/super-admin/tenants ........................................................... ~ 505.56ms
  2026-06-07 14:39:17 /api/notifications ....................................................................... ~ 1s
  2026-06-07 14:39:17 /api/super-admin/tenants ........................................................... ~ 508.31ms
  2026-06-07 14:39:17 /api/crm/login-redirect ............................................................ ~ 512.76ms
  2026-06-07 14:39:18 /api/leads/delayed ................................................................... ~ 1.31ms
  2026-06-07 14:39:19 /api/dashboard/top-users ........................................................... ~ 501.99ms
  2026-06-07 14:39:19 /api/dashboard-data/last-comments .................................................. ~ 507.23ms
  2026-06-07 14:39:19 /api/dashboard-data/recent-phone-calls ............................................. ~ 505.88ms
  2026-06-07 14:39:19 /api/campaigns/dashboard-stats ........................................................... ~ 1s
  2026-06-07 14:39:20 /api/stages ........................................................................ ~ 507.12ms
  2026-06-07 14:39:20 /api/leads/pipeline-analysis ....................................................... ~ 508.32ms
  2026-06-07 14:39:20 /api/stages .............................................................................. ~ 1s
  2026-06-07 14:39:21 /api/user .......................................................................... ~ 508.05ms
  2026-06-07 14:39:21 /api/dashboard-data/active-users ................................................... ~ 509.14ms
  2026-06-07 14:39:21 /api/users ......................................................................... ~ 506.79ms
  2026-06-07 14:39:22 /api/users ......................................................................... ~ 508.84ms
  2026-06-07 14:39:22 /api/leads/stats ......................................................................... ~ 1s
  2026-06-07 14:39:22 /api/leads/analysis ................................................................ ~ 508.78ms
  2026-06-07 14:39:22 /api/campaigns/dashboard-stats ..................................................... ~ 505.39ms
  2026-06-07 14:39:23 /api/stages ........................................................................ ~ 505.94ms
  2026-06-07 14:39:23 /api/leads/stats ................................................................... ~ 508.67ms
  2026-06-07 14:39:23 /api/leads/analysis ................................................................ ~ 508.24ms
  2026-06-07 14:39:24 /api/company-info .................................................................. ~ 507.36ms
  2026-06-07 14:39:24 /api/company-info .................................................................. ~ 500.98ms
  2026-06-07 14:39:25 /api/leads/delayed ................................................................... ~ 0.54ms
  2026-06-07 14:39:25 /api/dashboard/top-users ........................................................... ~ 501.96ms
  2026-06-07 14:39:25 /api/dashboard-data/last-comments ........................................................ ~ 1s
  2026-06-07 14:39:25 /api/dashboard-data/recent-phone-calls ............................................. ~ 506.88ms
  2026-06-07 14:39:26 /api/campaigns/dashboard-stats ..................................................... ~ 506.90ms
  2026-06-07 14:39:26 /api/leads/pipeline-analysis ....................................................... ~ 506.52ms
  2026-06-07 14:39:26 /api/stages ........................................................................ ~ 506.73ms
  2026-06-07 14:39:26 /api/user ................................................................................ ~ 1s
  2026-06-07 14:39:27 /api/dashboard-data/active-users ................................................... ~ 508.72ms
  2026-06-07 14:39:27 /api/users ......................................................................... ~ 505.74ms
  2026-06-07 14:39:27 /api/users ............................................................................... ~ 1s
  2026-06-07 14:39:28 /api/stages ........................................................................ ~ 509.66ms
  2026-06-07 14:39:28 /api/leads/stats ................................................................... ~ 508.15ms
  2026-06-07 14:39:28 /api/leads/analysis ................................................................ ~ 506.99ms
  2026-06-07 14:39:29 /api/notifications ................................................................. ~ 506.72ms
  2026-06-07 14:39:29 /api/campaigns/dashboard-stats ..................................................... ~ 506.59ms
  2026-06-07 14:39:29 /api/stages ........................................................................ ~ 505.83ms
  2026-06-07 14:39:30 /api/leads/stats ......................................................................... ~ 1s
  2026-06-07 14:39:30 /api/leads/analysis ................................................................ ~ 508.92ms
  2026-06-07 14:39:30 /api/leads/delayed ................................................................. ~ 507.97ms
  2026-06-07 14:39:30 /api/dashboard/top-users ........................................................... ~ 508.30ms
  2026-06-07 14:39:31 /api/dashboard-data/last-comments .................................................. ~ 506.96ms
  2026-06-07 14:39:31 /api/dashboard-data/recent-phone-calls ................................................... ~ 1s
  2026-06-07 14:39:31 /api/super-admin/tenants ........................................................... ~ 505.97ms
  2026-06-07 14:39:32 /api/campaigns/dashboard-stats ..................................................... ~ 507.97ms
  2026-06-07 14:39:32 /api/leads/pipeline-analysis ....................................................... ~ 506.45ms
  2026-06-07 14:39:32 /api/stages ........................................................................ ~ 506.00ms
  2026-06-07 14:39:33 /api/user ................................................................................ ~ 1s
